salle;phase_portal_gun;nb_cubes;nb_cam;nb_boutons;nb_interupteurs;nb_platformes;nb_orbe;nb_tourelles;gateau ;acide_mortel;compagnion
00-01;0;2;4;0;2;0;0;0;False;False;False
02 03;1;0;6;0;0;0;0;0;False;False;False
04 05;1;3;5;0;3;0;0;0;False;False;False
06 07;1;0;0;0;0;2;2;0;False;False;False
8;1;0;0;0;0;1;1;0;False;True;False
9;1;1;0;0;1;0;0;0;False;False;False
10;1;0;1;0;0;0;0;0;False;False;False
11 12;2;1;1;2;1;1;1;0;False;True;False
13;2;2;3;0;3;1;1;0;False;False;False
14;2;1;0;0;1;1;1;0;False;True;False
15;2;0;5;2;0;5;3;0;False;True;False
16;2;10;5;0;1;0;0;11;False;False;False
17;2;0;6;1;3;3;3;0;False;False;True
18;2;1;7;3;1;1;1;4;False;True;False
19;2;1;3;1;0;1;2;0;True ?;True;False
e00;2;0;0;0;0;0;0;0;False;False;False
e01;2;1;0;1;0;0;0;5;False;True;False
e02;2;0;0;0;0;;0;10;True;True;False
